"","phy_order","seed.source","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO","Field",0.0597932929342477,0.104667809935034,867,-0.145638628655391,0.265225214523887
"3","STPO","Field",0.500390753675569,0.0501398618437714,867,0.401981049935725,0.598800457415413
"7","STGL","Field",0.429133399533238,0.0549977273761114,867,0.321189144036248,0.537077655030228
"10","CAIN","Field",0.569534571946934,0.0446450804992006,867,0.481909497130068,0.657159646763801
"12","STDI","SH",0.403691562662663,0.0410281258072918,867,0.323165499023375,0.484217626301951
"14","STDR","SH",0.301296556882501,0.0453183392485462,867,0.212350074474409,0.390243039290593
"15","STBR","SH",0.377047397673502,0.0434106059643728,867,0.29184523087392,0.462249564473085
"16","STIN","SH",0.69971696572776,0.0214454745012602,867,0.657625848707828,0.741808082747692
"18","CAAN","SH",0.476216147786359,0.0386647713913769,867,0.400328649140072,0.552103646432645
"19","CACO","SH",0.50971335725743,0.0376123566483064,867,0.435891437160197,0.583535277354663
