"","phy_order","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO",0.0581913893402945,0.103980481845531,848,-0.145897903056454,0.262280681737044
"2","STDI",0.396085653733372,0.0408289032348413,848,0.315948095004678,0.476223212462066
"3","STPO",0.500946652624886,0.0498071256094277,848,0.403186949635195,0.598706355614577
"4","STDR",0.304976015758248,0.0450406467099561,848,0.216571792648543,0.393380238867952
"5","STBR",0.377466826067838,0.0431223295970809,848,0.292827809420063,0.462105842715614
"6","STIN",0.700033265506988,0.0213026607740816,848,0.658221139938951,0.741845391075025
"7","STGL",0.439101255245526,0.0547213269801501,848,0.33169612781997,0.546506382671082
"8","CAAN",0.473389937231657,0.0384111184976944,848,0.397997922737938,0.548781951725376
"9","CACO",0.509640486312057,0.037361735170475,848,0.436308165107924,0.58297280751619
"10","CAIN",0.584543011219486,0.0491222008436128,848,0.488127654864077,0.680958367574894
