"","phy_order","seed.source","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO","Field",0.0297873790876124,0.112753178681011,752,-0.191561046693764,0.251135804868989
"3","STPO","Field",0.395084179268397,0.0557933406835713,752,0.285554955579448,0.504613402957346
"7","STGL","Field",0.393575729412632,0.0555885152230383,752,0.284448603418659,0.502702855406604
"8","CAAN","Field",0.413994847146775,0.050211591169558,752,0.315423287645087,0.512566406648463
"10","CAIN","Field",0.441312151509251,0.0488074995179298,752,0.345496997462171,0.537127305556331
"12","STDI","SH",0.35333074007983,0.0399056116132803,752,0.274991092242211,0.43167038791745
"14","STDR","SH",0.256483227844329,0.0425672418780781,752,0.172918470825604,0.340047984863055
"15","STBR","SH",0.312298975190289,0.0488772079453384,752,0.216346974884406,0.408250975496171
"16","STIN","SH",0.639958830807731,0.0212301487625148,752,0.598281424789921,0.68163623682554
"19","CACO","SH",0.431798986498166,0.0380921314797616,752,0.357019424304569,0.506578548691763
