"","phy_order","seed.source","transplantjul.std.trend","SE","df","lower.CL","upper.CL"
"1","STTO","Field",0.0363974348901431,0.11218472947616,777,-0.183823632592722,0.256618502373008
"3","STPO","Field",0.39353634134616,0.0555079512250478,777,0.284573024060054,0.502499658632266
"7","STGL","Field",0.386545253656911,0.0553712226272696,777,0.27785033758636,0.495240169727462
"10","CAIN","Field",0.489319593672007,0.0569754185548709,777,0.377475606054217,0.601163581289796
"12","STDI","SH",0.359838500288785,0.0397794062124319,777,0.281750659449468,0.437926341128103
"14","STDR","SH",0.251326968747717,0.0423766677410712,777,0.168140646956135,0.334513290539298
"15","STBR","SH",0.313319863516152,0.0486310566151837,777,0.217856040136418,0.408783686895886
"16","STIN","SH",0.638832621228093,0.0211242215316398,777,0.59736531425,0.680299928206186
"18","CAAN","SH",0.39210053581495,0.036511959649591,777,0.320426763747488,0.463774307882413
"19","CACO","SH",0.432810556933706,0.0379009818087094,777,0.358410104113285,0.507211009754126
